"Collaboration with BoxOfHope - label","Collaboration with BoxOfHope - label"
"Incorrect plugin configuration, verify the settings","Incorrect plugin configuration, verify the settings"
"Your package is currently in preparation","Your package is currently in preparation"
"'We can't process your request' .","'We can't process your request' ."
"This order no longer exists.","This order no longer exists."
"I’m sorry, but your package is still in the preparation stage.","I’m sorry, but your package is still in the preparation stage."
"Generate BoxOhHope label","Generate BoxOhHope label"
boh_return_label_generate_label_button,boh_return_label_generate_label_button
"Download BoxOhHope label","Download BoxOhHope label"
boh_return_label_get_label_button,boh_return_label_get_label_button
"<a href=""boxofhope.pl/en"" target=""_blank"">BoxOfHope.pl</a> delivery number: ","<a href=""boxofhope.pl/en"" target=""_blank"">BoxOfHope.pl</a> delivery number: "
"<a href=""boxofhope.pl/en"" target=""_blank"">BoxOfHope.pl</a> return code: ","<a href=""boxofhope.pl/en"" target=""_blank"">BoxOfHope.pl</a> return code: "
"By joining our initiative, you are helping to maintain the natural environment by promoting the idea of a closed-loop economy.
With your commitment, we can reduce waste and make better use of resources. Together, we can do a lot of good for our planet. <br/> <br/>
That's why we encourage you to take advantage of this functionality and enable your customers to easily donate unwanted items
to charity. Together, we can work for the benefit of the local community and the natural environment, making the world a better place.",
"Przyłączając się do naszej inicjatywy, pomagasz w utrzymaniu środowiska naturalnego, promując ideę gospodarki o obiegu
zamkniętym. Dzięki Twojemu zaangażowaniu, możemy przyczynić się do zmniejszenia ilości odpadów i lepszego wykorzystania
zasobów. Razem możemy zrobić wiele dobrego dla naszej planety. <br/> <br/>Dlatego zachęcamy Cię, abyś wykorzystał tę
funkcjonalność i umożliwił swoim klientom łatwe przekazywanie niepotrzebnych przedmiotów na cele charytatywne.
Razem możemy działać na rzecz społeczności lokalnej i środowiska naturalnego, zmieniając świat na lepsze."
"BoxOfHope Return Delivery Label","BoxOfHope Return Delivery Label"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
"Test Mode","Test Mode"
"Api Key","Api Key"
